epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2399.99,1.40444,0.79003,1.19235,0.99242,1,0.995,0.68013,1.216,0.56953,1.12623,0.000233938,0.000233938,0.000233938
45,2446.9,1.17881,0.65894,1.08729,0.99242,1,0.995,0.68013,1.216,0.56953,1.12623,0.00022775,0.00022775,0.00022775
46,2602.82,1.15153,0.61914,1.07593,0.99294,1,0.995,0.68818,1.22539,0.55814,1.13387,0.000221562,0.000221562,0.000221562
47,2713.57,1.22767,0.62426,1.12955,0.99294,1,0.995,0.68818,1.22539,0.55814,1.13387,0.000215375,0.000215375,0.000215375
48,2829.11,1.15044,0.57641,1.06916,0.99378,1,0.995,0.69848,1.22446,0.62448,1.12875,0.000209188,0.000209188,0.000209188
49,2941.1,1.21478,0.71061,1.08512,0.99378,1,0.995,0.69848,1.22446,0.62448,1.12875,0.000203,0.000203,0.000203
50,3055.54,1.15564,0.63206,1.03834,0.9933,1,0.995,0.70938,1.20298,0.64254,1.10907,0.000196812,0.000196812,0.000196812
51,3178.02,1.27434,0.71882,1.07957,0.9933,1,0.995,0.70938,1.20298,0.64254,1.10907,0.000190625,0.000190625,0.000190625
52,3291.19,1.12693,0.59666,0.99379,0.99291,1,0.995,0.70751,1.16384,0.58946,1.08718,0.000184438,0.000184438,0.000184438
53,3399.88,1.10006,0.5567,1.03337,0.99291,1,0.995,0.70751,1.16384,0.58946,1.08718,0.00017825,0.00017825,0.00017825
54,3517.26,0.96719,0.51603,0.92274,0.99218,1,0.995,0.70863,1.13799,0.55762,1.05866,0.000172063,0.000172063,0.000172063
55,3639.84,0.98656,0.62775,1.03827,0.99218,1,0.995,0.70863,1.13799,0.55762,1.05866,0.000165875,0.000165875,0.000165875
56,3789.92,0.96543,0.73118,1.05322,0.99226,1,0.995,0.69049,1.12962,0.51475,1.05229,0.000159688,0.000159688,0.000159688
57,3935,1.02368,0.53466,0.98309,0.99226,1,0.995,0.69049,1.12962,0.51475,1.05229,0.0001535,0.0001535,0.0001535
58,4079.61,1.0622,0.59894,1.03812,0.99257,1,0.995,0.69126,1.1095,0.54173,1.04269,0.000147312,0.000147312,0.000147312
59,4228.64,1.09423,0.63879,1.03005,0.99257,1,0.995,0.69126,1.1095,0.54173,1.04269,0.000141125,0.000141125,0.000141125
60,4378.06,0.89021,0.60297,0.93861,0.99201,1,0.995,0.68945,1.08868,0.59145,1.03058,0.000134937,0.000134937,0.000134937
61,4524.66,1.0947,0.59198,1.01397,0.99201,1,0.995,0.68945,1.08868,0.59145,1.03058,0.00012875,0.00012875,0.00012875
62,4700.4,1.09322,0.55419,1.1036,0.99151,1,0.995,0.72074,1.10237,0.59249,1.0332,0.000122563,0.000122563,0.000122563
63,4849.43,1.10684,0.55344,0.98604,0.99151,1,0.995,0.72074,1.10237,0.59249,1.0332,0.000116375,0.000116375,0.000116375
64,4893.61,1.07222,0.56913,1.06947,0.99098,1,0.995,0.71201,1.11707,0.55227,1.0396,0.000110188,0.000110188,0.000110188
65,4942.86,0.95736,0.52954,1.04066,0.99098,1,0.995,0.71201,1.11707,0.55227,1.0396,0.000104,0.000104,0.000104
66,4998.23,0.97191,0.51785,0.9601,0.99086,1,0.995,0.72208,1.1377,0.53149,1.04943,9.78125e-05,9.78125e-05,9.78125e-05
67,5052.04,1.0885,0.58444,1.018,0.99086,1,0.995,0.72208,1.1377,0.53149,1.04943,9.1625e-05,9.1625e-05,9.1625e-05
68,5107.84,1.05827,0.59424,0.99005,0.99146,1,0.995,0.70697,1.1591,0.50675,1.0622,8.54375e-05,8.54375e-05,8.54375e-05
69,5164.24,0.9997,0.53558,1.01031,0.99146,1,0.995,0.70697,1.1591,0.50675,1.0622,7.925e-05,7.925e-05,7.925e-05
70,5222.84,1.00122,0.56486,0.99914,0.99194,1,0.995,0.69039,1.15799,0.49149,1.06421,7.30625e-05,7.30625e-05,7.30625e-05
71,5280.35,0.8138,0.46916,0.97932,0.99194,1,0.995,0.69039,1.15799,0.49149,1.06421,6.6875e-05,6.6875e-05,6.6875e-05
72,5341.68,0.88474,0.4658,1.01419,0.99235,1,0.995,0.71232,1.15862,0.48546,1.06746,6.06875e-05,6.06875e-05,6.06875e-05
73,5397.47,0.92481,0.53021,1.00364,0.99235,1,0.995,0.71232,1.15862,0.48546,1.06746,5.45e-05,5.45e-05,5.45e-05
74,5455.3,0.81953,0.45306,0.96852,0.99261,1,0.995,0.71335,1.15453,0.48794,1.07202,4.83125e-05,4.83125e-05,4.83125e-05
75,5512.21,0.89186,0.45647,1.00141,0.99261,1,0.995,0.71335,1.15453,0.48794,1.07202,4.2125e-05,4.2125e-05,4.2125e-05
76,5567.9,0.8426,0.48517,0.92893,0.99292,1,0.995,0.71321,1.14747,0.48585,1.07231,3.59375e-05,3.59375e-05,3.59375e-05
77,5624.07,0.85171,0.44601,1.00127,0.99292,1,0.995,0.71321,1.14747,0.48585,1.07231,2.975e-05,2.975e-05,2.975e-05
78,5679.48,0.88685,0.47184,1.03131,0.99321,1,0.995,0.71315,1.14374,0.48632,1.07269,2.35625e-05,2.35625e-05,2.35625e-05
79,5735.39,0.81456,0.47601,1.05872,0.99321,1,0.995,0.71315,1.14374,0.48632,1.07269,1.7375e-05,1.7375e-05,1.7375e-05
80,5792.88,0.84407,0.42139,0.97534,0.99334,1,0.995,0.71315,1.14283,0.49191,1.07274,1.11875e-05,1.11875e-05,1.11875e-05
